Price	Age_08_04	KM	HP	Met_Color	Automatic	CC	Doors	Quarterly_Tax	Weight	Fuel_Type_CNG	Fuel_Type_Diesel	Fuel_Type_Petrol	Fuel_Type
13500	23	46986	90	1	0	2000	3	210	1165	0	1	0	Diesel
13750	23	72937	90	1	0	2000	3	210	1165	0	1	0	Diesel
13950	24	41711	90	1	0	2000	3	210	1165	0	1	0	Diesel
14950	26	48000	90	0	0	2000	3	210	1165	0	1	0	Diesel
13750	30	38500	90	0	0	2000	3	210	1170	0	1	0	Diesel
12950	32	61000	90	0	0	2000	3	210	1170	0	1	0	Diesel
16900	27	94612	90	1	0	2000	3	210	1245	0	1	0	Diesel
18600	30	75889	90	1	0	2000	3	210	1245	0	1	0	Diesel
21500	27	19700	192	0	0	1800	3	100	1185	0	0	1	Petrol
12950	23	71138	69	0	0	1900	3	185	1105	0	1	0	Diesel
20950	25	31461	192	0	0	1800	3	100	1185	0	0	1	Petrol
19950	22	43610	192	0	0	1800	3	100	1185	0	0	1	Petrol
19600	25	32189	192	0	0	1800	3	100	1185	0	0	1	Petrol
21500	31	23000	192	1	0	1800	3	100	1185	0	0	1	Petrol
22500	32	34131	192	1	0	1800	3	100	1185	0	0	1	Petrol
22000	28	18739	192	0	0	1800	3	100	1185	0	0	1	Petrol
22750	30	34000	192	1	0	1800	3	100	1185	0	0	1	Petrol
17950	24	21716	110	1	0	1600	3	85	1105	0	0	1	Petrol
16750	24	25563	110	0	0	1600	3	19	1065	0	0	1	Petrol
16950	30	64359	110	1	0	1600	3	85	1105	0	0	1	Petrol
15950	30	67660	110	1	0	1600	3	85	1105	0	0	1	Petrol
16950	29	43905	110	0	1	1600	3	100	1170	0	0	1	Petrol
15950	28	56349	110	1	0	1600	3	85	1120	0	0	1	Petrol
16950	28	32220	110	1	0	1600	3	85	1120	0	0	1	Petrol
16250	29	25813	110	1	0	1600	3	85	1120	0	0	1	Petrol
15950	25	28450	110	1	0	1600	3	85	1120	0	0	1	Petrol
17495	27	34545	110	1	0	1600	3	85	1120	0	0	1	Petrol
15750	29	41415	110	1	0	1600	3	85	1120	0	0	1	Petrol
16950	28	44142	110	0	0	1600	3	85	1120	0	0	1	Petrol
17950	30	11090	110	1	0	1600	3	85	1120	0	0	1	Petrol
12950	29	9750	97	1	0	1400	3	19	1100	0	0	1	Petrol
15750	22	35199	97	1	0	1400	3	85	1100	0	0	1	Petrol
15950	27	29510	97	1	0	1400	3	85	1100	0	0	1	Petrol
14950	26	32692	97	1	0	1400	3	85	1100	0	0	1	Petrol
15500	22	41000	97	1	0	1400	3	85	1100	0	0	1	Petrol
15750	26	43000	97	0	0	1400	3	85	1100	0	0	1	Petrol
15950	25	25000	97	0	0	1400	3	85	1100	0	0	1	Petrol
14950	23	10000	97	1	0	1400	3	85	1100	0	0	1	Petrol
15750	32	25329	97	1	0	1400	3	85	1100	0	0	1	Petrol
14750	27	27500	97	0	0	1400	3	85	1100	0	0	1	Petrol
13950	22	49059	97	0	0	1400	3	85	1100	0	0	1	Petrol
16750	27	44068	97	1	0	1400	3	85	1100	0	0	1	Petrol
13950	22	46961	97	0	0	1400	3	85	1100	0	0	1	Petrol
16950	27	110404	90	0	0	2000	5	234	1255	0	1	0	Diesel
16950	22	100250	90	0	0	2000	5	234	1255	0	1	0	Diesel
19000	23	84000	90	0	0	2000	5	234	1270	0	1	0	Diesel
17950	27	79375	90	1	0	2000	5	234	1255	0	1	0	Diesel
15800	22	75048	97	1	0	1400	5	85	1110	0	0	1	Petrol
17950	22	72215	90	1	0	2000	5	234	1255	0	1	0	Diesel
21950	31	64982	192	1	0	1800	5	100	1195	0	0	1	Petrol
17950	22	62636	90	1	0	2000	5	234	1255	0	1	0	Diesel
15750	30	57086	97	1	0	1400	5	85	1110	0	0	1	Petrol
20500	26	56000	110	1	1	1600	5	100	1180	0	0	1	Petrol
21950	27	49866	192	1	0	1800	5	100	1195	0	0	1	Petrol
15500	25	49163	110	0	1	1600	5	100	1165	0	0	1	Petrol
13250	32	45725	110	1	0	1600	5	85	1075	0	0	1	Petrol
15250	28	43210	97	0	0	1400	5	85	1110	0	0	1	Petrol
15250	26	43000	97	0	0	1400	5	85	1110	0	0	1	Petrol
18950	23	39704	110	1	1	1600	5	100	1180	0	0	1	Petrol
15999	30	38950	110	1	0	1600	5	85	1130	0	0	1	Petrol
14950	22	37400	97	1	0	1400	5	85	1110	0	0	1	Petrol
16500	27	37177	110	0	0	1600	5	85	1130	0	0	1	Petrol
18750	31	36544	110	1	0	1600	5	85	1130	0	0	1	Petrol
17950	30	33511	110	1	0	1600	5	85	1130	0	0	1	Petrol
17950	27	32809	97	1	0	1400	5	85	1110	0	0	1	Petrol
16950	26	32181	110	1	0	1600	5	19	1075	0	0	1	Petrol
18950	28	30993	110	1	0	1600	5	85	1130	0	0	1	Petrol
14950	22	30400	97	1	0	1400	5	85	1110	0	0	1	Petrol
22250	22	30000	110	1	0	2000	5	234	1275	0	1	0	Diesel
15950	25	29719	97	1	0	1400	5	85	1110	0	0	1	Petrol
15950	28	29206	97	1	0	1400	5	85	1110	0	0	1	Petrol
12995	32	29198	97	1	0	1400	5	85	1060	0	0	1	Petrol
18950	28	28817	110	1	0	1598	5	85	1130	0	0	1	Petrol
15750	23	28227	97	1	0	1400	5	85	1110	0	0	1	Petrol
19950	28	28000	110	0	0	1600	5	85	1130	0	0	1	Petrol
16950	23	28000	110	1	0	1600	5	85	1115	0	0	1	Petrol
18750	31	25266	110	1	0	1600	5	85	1130	0	0	1	Petrol
18450	27	23489	110	0	0	1600	5	85	1115	0	0	1	Petrol
16895	29	22575	110	1	0	1600	5	85	1115	0	0	1	Petrol
14900	30	22000	97	1	0	1400	5	85	1110	0	0	1	Petrol
18950	25	20019	110	1	1	16000	5	100	1180	0	0	1	Petrol
17250	29	20000	110	1	0	1600	5	85	1115	0	0	1	Petrol
15450	25	17003	97	1	0	1400	5	85	1110	0	0	1	Petrol
17950	31	16238	110	1	1	1600	5	100	1180	0	0	1	Petrol
16650	25	15414	97	1	0	1400	5	85	1110	0	0	1	Petrol
17450	28	8537	110	1	0	1600	5	85	1130	0	0	1	Petrol
14900	30	7000	97	1	0	1400	5	85	1100	0	0	1	Petrol
17950	20	66966	90	1	0	2000	3	210	1245	0	1	0	Diesel
15950	19	51884	97	1	0	1400	3	85	1100	0	0	1	Petrol
21950	19	50005	110	1	0	2000	3	234	1265	0	1	0	Diesel
16450	20	48110	97	1	0	1400	3	85	1100	0	0	1	Petrol
22250	20	37500	90	1	0	2000	3	234	1260	0	1	0	Diesel
19950	16	34472	90	1	0	1995	3	234	1260	0	1	0	Diesel
15950	20	33329	97	1	0	1400	3	85	1100	0	0	1	Petrol
18900	20	31850	110	0	0	1600	3	85	1120	0	0	1	Petrol
19950	17	30351	90	1	0	1995	3	234	1260	0	1	0	Diesel
15950	19	29435	97	1	0	1400	3	85	1100	0	0	1	Petrol
15950	19	25948	97	1	0	1400	3	85	1100	0	0	1	Petrol
18750	11	24500	110	1	0	1600	3	85	1120	0	0	1	Petrol
17450	18	23902	97	1	0	1400	3	85	1100	0	0	1	Petrol
18990	20	23175	110	1	0	1600	3	85	1120	0	0	1	Petrol
16250	19	19200	97	1	0	1400	3	85	1100	0	0	1	Petrol
18500	13	18000	71	0	0	1400	3	85	1125	0	0	1	Petrol
18500	11	16123	110	1	0	1600	3	85	1105	0	0	1	Petrol
19450	11	14635	110	1	1	1600	3	100	1155	0	0	1	Petrol
16950	19	13748	97	1	0	1400	3	85	1100	0	0	1	Petrol
18800	14	11500	110	1	0	1600	3	69	1045	0	0	1	Petrol
17450	17	10000	97	1	0	1400	3	85	1100	0	0	1	Petrol
17950	20	7187	110	1	0	1600	3	85	1105	0	0	1	Petrol
32500	4	1	116	0	0	2000	5	283	1480	0	1	0	Diesel
31000	4	4000	116	1	0	2000	5	283	1480	0	1	0	Diesel
31275	4	1500	116	1	0	2000	5	283	1480	0	1	0	Diesel
24950	8	13253	116	1	0	2000	5	234	1320	0	1	0	Diesel
24950	8	13253	116	1	0	2000	5	234	1320	0	1	0	Diesel
22950	7	10000	116	1	0	2000	5	234	1270	0	1	0	Diesel
24990	8	6000	90	1	0	2000	5	234	1280	0	1	0	Diesel
21950	8	10841	90	1	0	2000	5	234	1270	0	1	0	Diesel
17900	7	1	110	1	0	1600	3	85	1105	0	0	1	Petrol
19250	20	63000	90	1	0	2000	5	234	1255	0	1	0	Diesel
22250	17	57313	110	1	0	2000	5	234	1275	0	1	0	Diesel
18950	13	57037	110	0	0	1600	5	85	1115	0	0	1	Petrol
19950	19	51099	90	1	0	2000	5	234	1255	0	1	0	Diesel
16350	14	40010	110	1	0	1600	5	85	1115	0	0	1	Petrol
18950	20	39115	110	1	0	1600	5	85	1130	0	0	1	Petrol
16950	17	36012	110	0	0	1600	5	85	1130	0	0	1	Petrol
21750	16	36000	110	1	0	1600	5	85	1130	0	0	1	Petrol
15950	20	36000	110	1	0	1600	5	19	1075	0	0	1	Petrol
16500	20	35000	97	1	0	1400	5	85	1110	0	0	1	Petrol
17950	17	33740	97	1	0	1400	5	85	1135	0	0	1	Petrol
15850	13	33477	110	1	0	1600	5	19	1075	0	0	1	Petrol
16250	20	32627	97	1	0	1400	5	85	1110	0	0	1	Petrol
15950	20	29797	97	1	0	1400	5	85	1110	0	0	1	Petrol
16250	19	29441	97	1	0	1400	5	85	1110	0	0	1	Petrol
15950	13	29371	110	1	0	1600	4	19	1105	0	0	1	Petrol
16500	20	29000	97	0	0	1400	5	85	1110	0	0	1	Petrol
16500	19	27821	97	0	0	1400	5	85	1110	0	0	1	Petrol
18450	19	27371	97	0	0	1400	5	85	1135	0	0	1	Petrol
16250	13	25170	110	1	0	1600	5	19	1105	0	0	1	Petrol
23000	11	25000	116	1	0	2000	5	64	1320	0	1	0	Diesel
19900	20	23000	110	1	0	1600	5	85	1130	0	0	1	Petrol
16450	20	22588	97	1	0	1400	5	85	1110	0	0	1	Petrol
23950	19	21684	192	1	0	1800	5	19	1185	0	0	1	Petrol
19950	13	21428	110	1	0	1600	5	85	1130	0	0	1	Petrol
18500	16	20629	110	1	0	1600	4	85	1090	0	0	1	Petrol
18950	15	20270	110	1	0	1600	5	85	1130	0	0	1	Petrol
16450	16	20105	97	0	0	1400	5	85	1110	0	0	1	Petrol
